movie_id,title,industry,release_date,release_year,release_weekday,genre,languages,num_languages,weekend1_collection_cr,worldwide_collection_cr,india_net_cr,india_gross_cr,overseas_cr
11047,Love Reddy,Telugu,18-10-24,2024,4,Action|Comedy|Romantic,Kannada|Telugu,2,0.25,0.82,0.73,0.82,
11027,Simharoopini,Kannada,17-10-24,2024,3,Drama,Kannada,1,0.04,0.07,0.06,0.07,
11009,Martin,Kannada,11-10-24,2024,4,Action|Drama|Thriller,Hindi|Kannada|Malayalam|Tamil|Telugu,5,15.55,25.72,22,25.72,0
11004,Vettaiyan,Tamil,10-10-24,2024,3,Action,Hindi|Kannada|Tamil|Telugu,4,104.75,253.69,146.89,171.69,82
10993,Janaka,Kannada,04-10-24,2024,4,Drama,Kannada,1,,,,,
10974,Minchuhulu,Kannada,04-10-24,2024,4,Drama,Kannada,1,,0.02,0.02,0.02,
10969,Gopilola,Kannada,04-10-24,2024,4,Drama,Kannada,1,0.04,0.06,0.05,0.06,
10968,Bhairadevi,Kannada,03-10-24,2024,3,Action|Drama|Fantasy,Kannada,1,0.4,0.95,0.84,0.95,
10964,Nite Road,Kannada,27-09-24,2024,4,Crime|Mystery|Thriller,Kannada,1,0.02,0.02,0.02,0.02,
10956,Ranaksha,Kannada,27-09-24,2024,4,Drama,Kannada,1,,,,,
10955,Sanju,Kannada,27-09-24,2024,4,Drama|Romantic,Kannada,1,0.03,0.04,0.03,0.04,
10942,Kedarnath Kuri Farm,Kannada,27-09-24,2024,4,Crime|Thriller,Kannada,1,,0.01,0,0.01,
6201,Devara - Part 1,Telugu,27-09-24,2024,4,Action|Drama|Thriller,Hindi|Kannada|Malayalam|Tamil|Telugu,5,160.6,428,292.47,351,77
10922,Hagga,Kannada,20-09-24,2024,4,Action|Fantasy|Suspense|Thriller,Kannada,1,0.05,0.09,0.09,0.09,
10921,Langoti Man,Kannada,20-09-24,2024,4,Comedy|Drama,Kannada,1,0.22,0.46,0.42,0.46,
10932,Dhruvathaare,Kannada,20-09-24,2024,4,Drama|Romantic,Kannada,1,0,0.08,0.07,0.08,
10895,"Karki Nanu BA, LLB",Kannada,20-09-24,2024,4,Action|Drama,Kannada,1,0.05,0.14,0.12,0.14,
10923,Rummy Aata,Kannada,20-09-24,2024,4,Drama,Kannada,1,,,,,
10890,Daasappa,Kannada,13-09-24,2024,4,Comedy,Kannada,1,0.01,0.01,0.01,0.01,
10889,Kaljiga,Kannada,13-09-24,2024,4,Drama|Mystery|Thriller,Kannada,1,0.24,1.12,1.04,1.12,
10888,Shalivahana Shakhe,Kannada,13-09-24,2024,4,Drama|Sci-Fi|Thriller,Kannada,1,0.04,0.06,0.06,0.06,
10887,Life of Mrudula,Kannada,13-09-24,2024,4,Drama,Kannada,1,,0.01,0.01,0.01,
10868,Vikaasaparva,Kannada,13-09-24,2024,4,Drama|Thriller,Kannada,1,0.03,0.04,0.04,0.04,
10867,Kaalapatthar,Kannada,13-09-24,2024,4,Drama|Thriller,Kannada,1,0.14,0.4,0.38,0.4,
10866,Ronny,Kannada,12-09-24,2024,3,Action|Crime|Drama|Romantic,Kannada,1,0.34,0.81,0.73,0.81,
10873,Aayante Randam Moshanam (ARM),Malayalam,12-09-24,2024,3,Action|Adventure|Drama|Period,Hindi|Kannada|Malayalam|Tamil|Telugu,5,14.45,107.32,64.01,74.82,32.5
10854,A Day in Dollarspete,Kannada,06-09-24,2024,4,Action|Comedy|Crime,Kannada,1,0.05,0.1,0.08,0.1,
10847,Anna,Kannada,06-09-24,2024,4,Drama,Kannada,1,0.06,0.38,0.38,0.38,
10842,Ibbani Tabbida Ileyali,Kannada,05-09-24,2024,3,Drama|Musical|Romantic,Kannada,1,0.5,5.54,4.94,5.54,
